rank,key,score,net_return,final_equity,max_drawdown,trades,win_rate,profit_factor,fees,daily_sharpe,exposure,halted,start,end,bars,positive_quarter_fraction
11,breakout_4h_120_60_atr3,0.009630893080295022,0.0230878099529368,10230.878099529367,0.030246984971004198,39,0.41025641025641024,1.218785379032364,89.22156735326601,0.32339072239823125,0.2361977186311787,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5
12,ema_4h_20_100_atr3,0.005254099790194977,0.01739061249634699,10173.90612496347,0.028174435331705494,37,0.35135135135135137,1.177373070888907,81.18930446851098,0.28147855088099943,0.19376425855513307,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5
13,breakout_4h_20_10_atr3,0.003733288433629134,0.024108968060457592,10241.089680604577,0.04323094405127359,112,0.39285714285714285,1.1064715082470882,263.6325873520066,0.26684823640112393,0.340532319391635,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5
14,rsi_pullback_4h_14_35_atr3,-0.0001344926375418387,0.012722517365217678,10127.225173652178,0.025822512631491046,30,0.4,1.238114907530015,64.48097803614475,0.29048782034803555,0.07604562737642585,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5
15,breakout_4h_80_40_atr3,-0.007023159681506369,0.017713530462437843,10177.135304624378,0.04353860714438751,49,0.3877551020408163,1.1287645176843093,111.67644951943352,0.23090329165543816,0.2740684410646388,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.4166666666666667
16,rsi_pullback_4h_21_35_atr3,-0.007449387550517841,0.0022553360511001763,10022.553360511001,0.0060761138699026995,9,0.2222222222222222,1.2163412189499048,15.9542880451979,0.11596267118576203,0.027984790874524716,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.16666666666666666
17,rsi_pullback_4h_21_35_atr2,-0.008450960209371874,0.002643985137061655,10026.439851370616,0.008856557359533723,9,0.2222222222222222,1.1705559251609219,23.28009306069852,0.10659015628669605,0.016730038022813688,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.16666666666666666
18,ema_4h_50_200_atr3,-0.017894481996959935,0.0010664478031328084,10010.664478031327,0.023077477317132167,17,0.35294117647058826,1.0219250449939858,35.539273559061094,0.029673829162033195,0.1817490494296578,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.16666666666666666
19,ema_4h_20_50_atr3,-0.019608167491629063,-0.004218084439951086,9957.81915560049,0.039641038095880377,58,0.27586206896551724,0.969253249342381,128.85755729054804,-0.04271924275095328,0.24669201520912548,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5833333333333334
20,ema_4h_10_50_atr3,-0.02027302441246448,0.005464076243539173,10054.640762435392,0.04872375539196516,87,0.27586206896551724,1.030370096195496,193.930368872327,0.07832882185607107,0.2643346007604563,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5
